source,model,dataset,subject_id,seed,preprocess,bandpass,notch,car,ica,baseline,residual,l_freq,h_freq,test_accuracy,test_macro_f1,val_best_accuracy,num_epochs,params_total,duration_sec,run_id
ablation,DiffE_AT,BCI,,7,1,0,0,0,1,0,0,0.5,125,0.548,0.5489173554308506,0.5613333333333334,50,3285302,400.71920585632324,20250824_131714_1252cb81
ablation,DiffE_AT,BCI,,7,1,1,1,1,1,0,0,0.5,125,0.2946666666666667,0.2813468391724927,0.2866666666666667,50,3285302,395.9829511642456,20250824_131738_773d7c74
ablation,DiffE_AT,BCI,,7,1,1,1,1,0,1,0,0.5,125,0.23866666666666667,0.22465851885206725,0.244,50,3285302,399.2188985347748,20250824_131818_a1753efe
ablation,DiffE_AT,BCI,,7,1,0,1,1,1,1,0,0.5,125,0.19866666666666666,0.18802557222319832,0.252,50,3285302,400.2944600582123,20250824_131904_5f8c92af
ablation,DiffE_AT,BCI,,7,1,1,1,0,1,1,0,0.5,125,0.25866666666666666,0.25671616362362787,0.25066666666666665,50,3285302,403.35094690322876,20250824_131957_1fd77d2c
ablation,DiffE_AT,BCI,,21,1,0,0,1,0,0,0,0.5,125,0.512,0.5117466642489307,0.5466666666666666,50,3285302,401.9288363456726,20250824_132016_94bdaeef
ablation,DiffE_AT,BCI,,21,1,0,0,0,0,1,0,0.5,125,0.23333333333333334,0.23033011529743558,0.24266666666666667,50,3285302,398.09301018714905,20250824_132132_82ec880c
ablation,DiffE_AT,BCI,,21,1,0,1,0,0,0,0,0.5,125,0.532,0.5320309265880724,0.5426666666666666,50,3285302,396.51747965812683,20250824_132252_e9de8f60
ablation,DiffE_AT,BCI,,21,1,1,0,1,1,1,0,0.5,125,0.24266666666666667,0.2117984917339785,0.25066666666666665,50,3285302,399.5607280731201,20250824_132335_b040d4b4
ablation,DiffE_AT,BCI,,21,1,1,0,0,0,0,0,0.5,125,0.29733333333333334,0.27883738583647794,0.30666666666666664,50,3285302,399.86295104026794,20250824_132406_d0c4901c
ablation,DiffE_AT,BCI,,21,1,0,0,0,1,0,0,0.5,125,0.5186666666666667,0.5186394638083585,0.552,50,3285302,400.4044768810272,20250824_132418_f7168a8b
ablation,DiffE_AT,BCI,,21,1,1,1,1,1,0,0,0.5,125,0.29733333333333334,0.2913693600004973,0.2826666666666667,50,3285302,398.5428488254547,20250824_132452_3f7d830e
ablation,DiffE_AT,BCI,,21,1,1,1,1,0,1,0,0.5,125,0.24266666666666667,0.22924168234627884,0.252,50,3285302,397.8816020488739,20250824_132520_1a388096
ablation,DiffE_AT,BCI,,21,1,0,1,1,1,1,0,0.5,125,0.20666666666666667,0.17522774137982586,0.252,50,3285302,402.360475063324,20250824_132611_9975b58c
ablation,mlp,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.21866666666666668,0.12135373217046723,0.22266666666666668,50,52693509,49.94905996322632,20250824_132039_82f90b80
ablation,cnn,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.524,0.5241705423119631,0.5106666666666667,50,99621,85.73703098297119,20250824_132039_82f90b80
ablation,eegnet,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.31866666666666665,0.3183266898683155,0.3373333333333333,50,13205,166.10692191123962,20250824_132039_82f90b80
ablation,shallowconvnet,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.32133333333333336,0.32098580270984306,0.33866666666666667,50,13045,263.22111988067627,20250824_132039_82f90b80
ablation,deepconvnet,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.34933333333333333,0.34841795719951724,0.36133333333333334,50,179730,340.38194394111633,20250824_132039_82f90b80
ablation,DiffE_AT,BCI,,21,1,1,1,0,1,1,0,0.5,125,0.22933333333333333,0.22711354473959028,0.25466666666666665,50,3285302,403.3340437412262,20250824_132704_a47e78d0
ablation,mlp,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.2,0.10742554474950812,0.20933333333333334,50,52693509,45.978039026260376,20250824_132149_26a1e7d9
ablation,cnn,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.224,0.22151837852444642,0.248,50,99621,82.53529596328735,20250824_132149_26a1e7d9
ablation,eegnet,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.22133333333333333,0.21897216550384488,0.24133333333333334,50,13205,164.6968641281128,20250824_132149_26a1e7d9
ablation,shallowconvnet,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.23066666666666666,0.22866267006265595,0.27066666666666667,50,13045,262.7297611236572,20250824_132149_26a1e7d9
ablation,deepconvnet,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.22533333333333333,0.21811605833279013,0.248,50,179730,339.25301909446716,20250824_132149_26a1e7d9
ablation,mlp,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.236,0.15569796083431034,0.24133333333333334,50,52693509,47.03840517997742,20250824_132309_124839a5
ablation,cnn,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.49333333333333335,0.4934160860779058,0.5346666666666666,50,99621,84.71220803260803,20250824_132309_124839a5
ablation,eegnet,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.292,0.2924450738856129,0.31066666666666665,50,13205,167.4364550113678,20250824_132309_124839a5
ablation,shallowconvnet,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.352,0.34685351125159003,0.33066666666666666,50,13045,265.1774911880493,20250824_132309_124839a5
ablation,deepconvnet,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.324,0.32001950808126517,0.34,50,179730,342.2539441585541,20250824_132309_124839a5
ablation,mlp,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.20533333333333334,0.12863307511758446,0.21333333333333335,50,52693509,50.72105312347412,20250824_132358_172e3ed3
ablation,cnn,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.21333333333333335,0.2083336932150348,0.244,50,99621,87.61025214195251,20250824_132358_172e3ed3
ablation,eegnet,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.20933333333333334,0.20831318410739694,0.24,50,13205,169.7485191822052,20250824_132358_172e3ed3
ablation,shallowconvnet,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.19466666666666665,0.17868423982426346,0.23733333333333334,50,13045,267.58142709732056,20250824_132358_172e3ed3
ablation,deepconvnet,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.236,0.21571492065165204,0.22266666666666668,50,179730,343.597736120224,20250824_132358_172e3ed3
ablation,mlp,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.204,0.1274711206777214,0.216,50,52693509,47.385074853897095,20250824_132423_0796dc5e
ablation,cnn,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.244,0.2391908690306515,0.2693333333333333,50,99621,85.23521494865417,20250824_132423_0796dc5e
ablation,eegnet,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.21466666666666667,0.21205554319220452,0.24,50,13205,168.23793983459473,20250824_132423_0796dc5e
ablation,shallowconvnet,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.23066666666666666,0.22939237906684112,0.256,50,13045,268.01963996887207,20250824_132423_0796dc5e
ablation,deepconvnet,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.212,0.2094864267860451,0.22933333333333333,50,179730,346.5284888744354,20250824_132423_0796dc5e
ablation,mlp,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.22,0.13475555301234804,0.236,50,52693509,48.1242470741272,20250824_132435_f6b38498
ablation,cnn,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.512,0.5120326355683866,0.5213333333333333,50,99621,86.37638902664185,20250824_132435_f6b38498
ablation,eegnet,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.29333333333333333,0.2922273123239144,0.30533333333333335,50,13205,168.80540204048157,20250824_132435_f6b38498
ablation,shallowconvnet,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.3293333333333333,0.3284891873664126,0.34933333333333333,50,13045,266.7533040046692,20250824_132435_f6b38498
ablation,deepconvnet,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.3466666666666667,0.337039624890133,0.3426666666666667,50,179730,344.7394790649414,20250824_132435_f6b38498
ablation,mlp,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.196,0.11521050677378222,0.216,50,52693509,52.21558094024658,20250824_132516_611b419c
ablation,cnn,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.23333333333333334,0.22687987866494722,0.26,50,99621,89.16826510429382,20250824_132516_611b419c
ablation,eegnet,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.21066666666666667,0.20384152778639913,0.23866666666666667,50,13205,170.93811011314392,20250824_132516_611b419c
ablation,shallowconvnet,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.24666666666666667,0.23171628198237387,0.248,50,13045,268.55250310897827,20250824_132516_611b419c
ablation,deepconvnet,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.228,0.20944436273626033,0.22933333333333333,50,179730,344.7101459503174,20250824_132516_611b419c
ablation,mlp,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.20533333333333334,0.1020120970954086,0.21466666666666667,50,52693509,48.837488889694214,20250824_132538_c53791eb
ablation,cnn,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.19866666666666666,0.19447052880826504,0.25066666666666665,50,99621,89.13224792480469,20250824_132538_c53791eb
ablation,eegnet,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.21333333333333335,0.21453860202411348,0.232,50,13205,172.4495759010315,20250824_132538_c53791eb
ablation,shallowconvnet,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.20133333333333334,0.19646220823642316,0.23733333333333334,50,13045,271.50847601890564,20250824_132538_c53791eb
ablation,deepconvnet,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.21866666666666668,0.2066854817883285,0.22,50,179730,350.18052196502686,20250824_132538_c53791eb
ablation,mlp,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.21066666666666667,0.1040864185954495,0.21733333333333332,50,52693509,50.08966302871704,20250824_132629_3ed0dfb9
ablation,cnn,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.21866666666666668,0.21732506117791517,0.236,50,99621,90.90295314788818,20250824_132629_3ed0dfb9
ablation,eegnet,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.19866666666666666,0.19728992673610052,0.248,50,13205,174.30501103401184,20250824_132629_3ed0dfb9
ablation,shallowconvnet,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.20933333333333334,0.20244847308927372,0.244,50,13045,272.837877035141,20250824_132629_3ed0dfb9
ablation,deepconvnet,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.224,0.22126099320343923,0.24933333333333332,50,179730,352.0771360397339,20250824_132629_3ed0dfb9
ablation,mlp,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.20133333333333334,0.12390584556122422,0.22,50,52693509,52.16241788864136,20250824_132644_56910ab7
