channel,kw_min_p,kw_eta2_from_maxH,mi_sum,MI_BP_0.0-1.0Hz,MI_BP_0.5-4.0Hz,MI_BP_4.0-8.0Hz,MI_slope,MI_offset,kw_p_adj,kw_significant
56,1.066890706981593e-05,0.08249030538506373,0.08883334187150105,0.0005675540694980441,0.03173112406690892,0.05136686415247027,0.005167799582623811,0.0,4.877214660487282e-05,True
24,1.7941560035147268e-05,0.07871257015222347,0.2503387581357188,0.06475126594169334,0.04549906377370494,0.0820192800351327,0.009736645310660652,0.04833250307452719,7.655065614996168e-05,True
28,2.4913594229612145e-05,0.0763211592244311,0.09431378986561167,0.0,0.017780983274383377,0.002716303862345004,0.0,0.0738165027288833,9.965437691844858e-05,True
15,2.9308787365338575e-05,0.07513600240253779,0.11140724741517039,0.017166707842427797,0.027656735663057486,0.02600180610573899,0.0,0.04058199780394611,0.0001103389641989217,True
60,4.47481945530463e-05,0.07204389136024968,0.13358066604687435,0.07532827401527298,0.0,0.0,0.0077433709462653155,0.05050902108533606,0.00015806965350342894,True
59,4.692692838383046e-05,0.07169600390412381,0.08408083435150848,0.01659979095021402,0.02379921654107653,0.0,0.010606708034751389,0.03307511882546654,0.00015806965350342894,True
12,6.308241589733798e-05,0.06952867466261253,0.16171593768065673,0.03505390706835998,0.07174229985486136,0.0,0.0396487369841001,0.015270993773335295,0.0001933685065891508,True
21,6.344904122456511e-05,0.06948617977739027,0.14722605897366225,0.0,0.050220968645875,0.0,0.002926683660859908,0.09407840666692735,0.0001933685065891508,True
40,8.0529308341541e-05,0.06773666685436507,0.15439934650506482,0.017386843293275334,0.0,0.06403243201558206,0.004190567440427451,0.06878950375577997,0.00023426707881175562,True
30,8.957496462298999e-05,0.06695446064906056,0.11175810024125399,0.043670825378437694,0.0,0.012803474142365268,0.025905991990469168,0.029377808729981858,0.00024925207547266777,True
17,0.00010104716049933222,0.0660682545939153,0.2661012808113048,0.09885186548069846,0.05942621089182554,0.0012277930357602607,0.0,0.10659541140302053,0.0002694590946648859,True
61,0.00012722229457078914,0.06437216810255851,0.20954977637977956,0.10011124745745859,0.003771685067080366,0.01948459345967324,0.011911102196295431,0.07427114819927194,0.00031289239364994326,True
63,0.00013245153176350005,0.06407527450869989,0.1728881266130049,0.001993366555650855,0.07847659864712675,0.029489431880253214,0.0,0.06292872952997408,0.00031289239364994326,True
29,0.00012992190443358997,0.06421741464421803,0.12305745013931046,0.029995352959834687,0.0,0.05253155057622738,0.0,0.040530546603248396,0.00031289239364994326,True
14,0.00013689042222185017,0.06383224280646427,0.08920568998265654,0.01747021683626704,0.04342428370701068,0.0,0.028311189439378825,0.0,0.00031289239364994326,True
26,0.000222509810179755,0.06024333201944539,0.008470457573240164,0.0,0.0,0.0,0.0,0.008470457573240164,0.0004910561328104939,True
50,0.00024147753378333647,0.05963756217504782,0.07321081740749191,0.012892265597073127,0.0,0.0,0.043714127188506424,0.01660442462191236,0.0005151520720711178,True
9,0.00034097473752271,0.05707782345102059,0.17791094164551025,0.0375930706370311,0.0,0.009949854490795218,0.05808099883509499,0.07228701768258894,0.0006612843394379831,True
43,0.00033375028272334117,0.057236931508906325,0.1261303100891773,0.0582384369191975,0.011277441857265202,0.0,0.0,0.0566144313127146,0.0006612843394379831,True
